session_id	original_session_id
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z0um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z0um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z100um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z100um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z105um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z105um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z10um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z10um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z110um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z110um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z115um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z115um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z120um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z120um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z125um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z125um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z130um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z130um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z135um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z135um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z140um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z140um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z145um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z145um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z150um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z150um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z155um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z155um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z15um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z15um
ses-m1+d10+y2023+ant4+0+48x+3+hexanone+40+t149+z160um	ses-m1-d10-y2023-ant4-0.48x-3-hexanone-40-t149-z160um
