participant_id	species	sex	strain
sub-ant1-m1-d11-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m1-d17-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m1-d20-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m2-d24-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m4-d6-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m1-d11-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m1-d17-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m1-d20-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m2-d24-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m1-d10-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m1-d17-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m2-d24-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m1-d10-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m1-d11-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m1-d18-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m1-d20-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m4-d6-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant5-m1-d10-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant5-m1-d11-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant5-m4-d6-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant6-m1-d10-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
