session_id	original_session_id
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z0um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z0um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z100um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z100um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z105um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z105um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z10um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z10um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z110um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z110um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z115um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z115um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z120um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z120um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z125um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z125um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z130um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z130um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z135um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z135um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z140um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z140um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z145um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z145um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z150um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z150um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z155um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z155um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z15um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z15um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z160um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z160um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z20um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z20um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z25um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z25um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z30um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z30um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z35um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z35um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z40um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z40um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z45um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z45um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z50um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z50um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z55um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z55um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z5um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z5um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z60um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z60um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z65um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z65um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z70um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z70um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z75um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z75um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z80um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z80um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z85um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z85um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z90um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z90um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t181+z95um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t181-z95um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z0um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z0um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z100um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z100um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z105um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z105um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z10um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z10um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z110um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z110um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z115um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z115um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z120um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z120um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z125um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z125um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z130um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z130um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z135um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z135um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z140um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z140um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z145um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z145um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z150um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z150um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z155um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z155um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z15um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z15um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z160um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z160um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z20um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z20um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z25um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z25um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z30um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z30um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z35um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z35um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z40um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z40um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z45um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z45um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z50um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z50um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z55um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z55um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z5um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z5um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z60um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z60um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z65um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z65um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z70um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z70um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z75um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z75um
ses-m1+d11+y2023+ant4+0+03x+3+hexanone+40+t188+z80um	ses-m1-d11-y2023-ant4-0.03x-3-hexanone-40-t188-z80um
