session_id	original_session_id
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z0um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z0um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z100um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z100um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z105um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z105um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z10um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z10um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z110um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z110um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z115um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z115um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z120um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z120um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z125um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z125um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z130um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z130um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z135um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z135um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z140um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z140um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z145um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z145um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z150um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z150um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z155um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z155um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z15um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z15um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z160um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z160um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z20um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z20um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z25um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z25um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z30um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z30um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z35um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z35um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z40um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z40um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z45um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z45um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z50um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z50um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z55um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z55um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z5um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z5um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z60um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z60um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z65um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z65um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z70um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z70um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z75um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z75um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z80um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z80um
ses-m4+d6+y2023+ant4+0+48x+3+hexanone+40+t154+z85um	ses-m4-d6-y2023-ant4-0.48x-3-hexanone-40-t154-z85um
