session_id	original_session_id
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z0um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z0um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z100um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z100um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z105um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z105um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z10um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z10um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z110um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z110um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z115um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z115um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z120um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z120um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z125um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z125um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z130um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z130um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z135um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z135um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z140um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z140um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z145um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z145um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z150um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z150um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z155um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z155um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z15um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z15um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z160um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z160um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z20um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z20um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z25um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z25um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z30um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z30um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z35um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z35um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z40um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z40um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z45um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z45um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z50um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z50um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z55um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z55um
ses-m1+d17+y2023+ant3+0+03x+3+hexanone+40+t191+z5um	ses-m1-d17-y2023-ant3-0.03x-3-hexanone-40-t191-z5um
